,valoracion_stockfish
181,-121.0
182,199.0
183,-78.0
184,213.0
185,-324.0
186,213.0
187,-120.0
188,652.0
189,-649.0
190,768.0
191,-681.0
192,766.0
193,-739.0
194,762.0
195,-781.0
196,795.0
197,-879.0
198,844.0
199,-833.0
200,835.0
201,-876.0
202,893.0
203,-832.0
204,848.0
205,-809.0
206,878.0
207,-826.0
208,936.0
209,-859.0
210,892.0
211,-886.0
212,929.0
213,-930.0
214,971.0
215,-698.0
216,781.0
217,-675.0
218,676.0
219,-690.0
220,713.0
221,-717.0
222,748.0
223,-694.0
224,795.0
225,-772.0
226,743.0
227,-735.0
228,823.0
229,-782.0
230,786.0
231,-721.0
232,888.0
233,-823.0
234,847.0
235,-840.0
236,841.0
237,-886.0
238,909.0
239,-911.0
240,6242.0
241,-6395.0
242,6273.0
243,-6465.0
244,6474.0
245,-6474.0
246,6450.0
247,-6445.0
248,6475.0
249,-6483.0
250,6493.0
251,-7612.0
252,5.0
253,-4.0
254,3.0
255,-2.0
256,2.0
257,-1.0
258,1.0
259,-51.0
260,50.0
261,-62.0
262,32.0
263,-46.0
264,85.0
265,-69.0
266,111.0
267,-78.0
268,89.0
269,-109.0
270,79.0
271,-55.0
272,128.0
273,-83.0
274,89.0
275,-75.0
276,79.0
277,-47.0
278,55.0
279,-41.0
280,34.0
281,-48.0
282,95.0
283,-37.0
284,86.0
285,-122.0
286,158.0
287,-229.0
288,202.0
289,-256.0
290,225.0
291,-295.0
292,217.0
293,-171.0
294,389.0
295,-124.0
296,114.0
297,-183.0
298,202.0
299,-205.0
300,219.0
301,-203.0
302,244.0
303,-218.0
304,235.0
305,-277.0
306,249.0
307,-226.0
308,325.0
309,-198.0
310,194.0
311,-214.0
312,202.0
313,-223.0
314,241.0
315,-225.0
316,180.0
317,-235.0
318,217.0
319,-211.0
320,210.0
321,-203.0
322,226.0
323,-226.0
324,217.0
325,-141.0
326,208.0
327,-227.0
328,198.0
329,-199.0
330,263.0
331,-115.0
332,169.0
333,-159.0
334,183.0
335,-243.0
336,208.0
337,-198.0
338,218.0
339,-153.0
340,239.0
341,-176.0
342,136.0
343,-141.0
344,187.0
345,-133.0
346,447.0
347,-59.0
348,178.0
349,-171.0
350,184.0
351,-235.0
352,232.0
353,-155.0
354,258.0
355,-163.0
356,200.0
357,-241.0
358,237.0
359,-174.0
360,214.0
361,-216.0
362,226.0
363,-149.0
364,209.0
365,-208.0
366,104.0
367,-76.0
368,117.0
369,-80.0
370,329.0
371,-113.0
372,43.0
373,-14.0
374,55.0
375,-13.0
376,12.0
377,-12.0
378,0.0
379,-11.0
380,0.0
381,-1.0
382,-1.0
383,4.0
384,19.0
385,-15.0
386,15.0
387,-19.0
388,10.0
389,-8.0
390,12.0
391,14.0
392,1.0
393,-12.0
394,17.0
395,-51.0
396,92.0
397,-112.0
398,95.0
399,-115.0
400,161.0
401,-117.0
402,119.0
403,-118.0
404,159.0
405,-81.0
406,119.0
407,-101.0
408,63.0
409,-113.0
410,65.0
411,-79.0
412,101.0
413,-82.0
414,107.0
415,-85.0
416,86.0
417,-84.0
418,66.0
419,-27.0
420,135.0
421,-13.0
422,150.0
423,-114.0
424,55.0
425,-100.0
426,129.0
427,-175.0
428,139.0
429,-153.0
430,221.0
431,-131.0
432,19.0
433,23.0
434,0.0
435,57.0
436,-26.0
437,12.0
438,-32.0
439,49.0
440,-41.0
441,44.0
442,-47.0
443,44.0
444,40.0
445,70.0
446,401.0
447,-328.0
448,363.0
449,-296.0
450,376.0
451,-234.0
452,317.0
453,-278.0
454,314.0
455,-352.0
456,496.0
457,-136.0
458,348.0
459,-416.0
460,311.0
461,-290.0
462,294.0
463,-105.0
464,150.0
465,423.0
466,-231.0
467,555.0
468,424.0
469,-28.0
470,147.0
471,0.0
472,342.0
473,-316.0
474,-37.0
475,34.0
476,-26.0
477,12.0
478,-35.0
479,40.0
480,-29.0
481,36.0
482,0.0
483,55.0
484,-56.0
485,75.0
486,-45.0
487,73.0
488,-70.0
489,78.0
490,-62.0
491,95.0
492,-66.0
493,75.0
494,-38.0
495,21.0
496,-23.0
497,36.0
498,0.0
499,70.0
500,-19.0
501,-3.0
502,57.0
503,-48.0
504,183.0
505,-95.0
506,80.0
507,-24.0
508,46.0
509,-31.0
510,47.0
511,-60.0
512,38.0
513,-9.0
514,20.0
515,-36.0
516,130.0
517,5.0
518,-6.0
519,52.0
520,98.0
521,-86.0
522,-58.0
523,-70.0
524,25.0
525,-23.0
526,202.0
527,-418.0
528,298.0
529,-306.0
530,404.0
531,-448.0
532,434.0
533,-440.0
534,471.0
535,-470.0
536,519.0
537,-283.0
538,196.0
539,-191.0
540,376.0
541,-247.0
542,392.0
543,-325.0
544,473.0
545,-295.0
546,509.0
547,-432.0
548,201.0
549,-269.0
550,693.0
551,-413.0
552,471.0
553,-420.0
554,-51.0
555,32.0
556,-18.0
557,31.0
558,6.0
559,62.0
560,-30.0
561,61.0
562,-59.0
563,65.0
564,-42.0
565,132.0
566,-53.0
567,48.0
568,-99.0
569,143.0
570,-74.0
571,116.0
572,-101.0
573,35.0
574,-124.0
575,154.0
576,-91.0
577,233.0
578,-142.0
579,223.0
580,-157.0
581,181.0
582,-161.0
583,257.0
584,-194.0
585,238.0
586,-264.0
587,220.0
588,-155.0
589,213.0
590,-125.0
591,113.0
592,-13.0
593,18.0
594,-27.0
595,-15.0
596,-11.0
597,115.0
598,-89.0
599,161.0
600,-128.0
601,434.0
602,-100.0
603,214.0
604,299.0
605,-288.0
606,271.0
607,-148.0
608,258.0
609,-73.0
610,215.0
611,59.0
612,275.0
613,-150.0
614,124.0
615,-14.0
616,193.0
617,-348.0
618,395.0
619,-133.0
620,145.0
621,-181.0
622,162.0
623,-81.0
624,181.0
625,-83.0
626,162.0
627,-142.0
628,189.0
629,-73.0
630,167.0
631,-168.0
632,240.0
633,-34.0
634,108.0
635,-105.0
636,169.0
637,-111.0
638,213.0
639,-196.0
640,156.0
641,-191.0
642,215.0
643,-266.0
644,168.0
645,-143.0
646,175.0
647,-220.0
648,196.0
649,-129.0
650,155.0
651,-161.0
652,189.0
653,-188.0
654,165.0
655,-172.0
656,194.0
657,-208.0
658,205.0
659,-164.0
660,158.0
661,-207.0
662,150.0
663,-138.0
664,139.0
665,-49.0
666,48.0
667,-44.0
668,39.0
669,-40.0
670,43.0
671,-26.0
672,28.0
673,-43.0
674,47.0
675,-33.0
676,41.0
677,-28.0
678,21.0
679,-32.0
680,33.0
681,-35.0
682,29.0
683,-37.0
684,28.0
685,-28.0
686,26.0
687,-20.0
688,26.0
689,-12.0
690,58.0
691,-32.0
692,47.0
693,-26.0
694,26.0
695,-32.0
696,20.0
697,-34.0
698,26.0
699,-30.0
700,29.0
701,-24.0
702,32.0
703,-29.0
704,30.0
705,-26.0
706,26.0
707,-28.0
708,72.0
709,10.0
710,11.0
711,-56.0
712,28.0
713,47.0
714,87.0
715,-105.0
716,101.0
717,-95.0
718,187.0
719,-195.0
720,234.0
721,-192.0
722,241.0
723,-260.0
724,221.0
725,-183.0
726,139.0
727,-242.0
728,140.0
729,-87.0
730,328.0
731,-172.0
732,332.0
733,-77.0
734,244.0
735,-415.0
736,527.0
737,-401.0
738,528.0
739,-586.0
740,732.0
741,-725.0
742,925.0
743,-717.0
744,774.0
745,-5.0
746,5.0
747,-4.0
748,1.0
749,-51.0
750,35.0
751,-51.0
752,26.0
753,-42.0
754,43.0
755,37.0
756,55.0
757,-22.0
758,21.0
759,21.0
760,21.0
761,4.0
762,28.0
763,-2.0
764,-25.0
765,24.0
766,-51.0
767,79.0
768,-85.0
769,98.0
770,-34.0
771,29.0
772,-39.0
773,65.0
774,-54.0
775,87.0
776,40.0
777,92.0
778,-92.0
779,126.0
780,-51.0
781,64.0
782,-99.0
783,99.0
784,1049.0
785,-983.0
786,-46.0
787,34.0
788,-32.0
789,34.0
790,-28.0
791,115.0
792,-18.0
793,25.0
794,-25.0
795,66.0
796,-45.0
797,67.0
798,-39.0
799,66.0
800,48.0
801,87.0
802,-25.0
803,74.0
804,-49.0
805,172.0
806,73.0
807,29.0
808,-36.0
809,137.0
810,-86.0
811,102.0
812,-162.0
813,350.0
814,-389.0
815,325.0
816,-268.0
817,320.0
818,-258.0
819,378.0
820,-328.0
821,232.0
822,-642.0
823,764.0
824,-742.0
825,617.0
826,-771.0
827,934.0
828,-476.0
829,995.0
830,-691.0
831,771.0
832,-725.0
833,809.0
834,-805.0
835,4.0
836,-3.0
837,3.0
838,-2.0
839,-54.0
840,99.0
841,-54.0
842,96.0
843,-48.0
844,59.0
845,-42.0
846,48.0
847,-61.0
848,55.0
849,-40.0
850,58.0
851,-62.0
852,30.0
853,-59.0
854,81.0
855,-87.0
856,178.0
857,-128.0
858,162.0
859,-151.0
860,175.0
861,-79.0
862,174.0
863,4.0
864,28.0
865,9.0
866,83.0
867,73.0
868,103.0
869,-101.0
870,175.0
871,-88.0
872,217.0
873,-319.0
874,145.0
875,-71.0
876,214.0
877,-58.0
878,123.0
879,-118.0
880,171.0
881,-164.0
882,68.0
883,-82.0
884,195.0
885,0.0
886,598.0
887,-632.0
888,-39.0
889,60.0
890,3.0
891,26.0
892,-37.0
893,40.0
894,11.0
895,-17.0
896,62.0
897,14.0
898,-1.0
899,16.0
900,-12.0
901,-13.0
902,14.0
903,-13.0
904,18.0
905,-24.0
906,-7.0
907,11.0
908,48.0
909,-9.0
910,56.0
911,-15.0
912,-44.0
913,68.0
914,-60.0
915,45.0
916,-31.0
917,36.0
918,-22.0
919,78.0
920,6.0
921,140.0
922,-128.0
923,152.0
924,-69.0
925,138.0
926,-123.0
927,133.0
928,-85.0
929,121.0
930,-62.0
931,119.0
932,-50.0
933,108.0
934,-49.0
935,186.0
936,-154.0
937,212.0
938,-126.0
939,207.0
940,-123.0
941,91.0
942,-141.0
943,134.0
944,-109.0
945,164.0
946,-163.0
947,149.0
948,-169.0
949,150.0
950,-168.0
951,175.0
952,-150.0
953,161.0
954,-145.0
955,216.0
956,-139.0
957,-35.0
958,61.0
959,-11.0
960,13.0
961,-8.0
962,26.0
963,-16.0
964,25.0
965,-5.0
966,42.0
967,37.0
968,-41.0
969,71.0
970,38.0
971,36.0
972,0.0
973,37.0
974,-24.0
975,44.0
976,26.0
977,-40.0
978,-88.0
979,171.0
980,-110.0
981,208.0
982,-50.0
983,15.0
984,-62.0
985,66.0
986,-6.0
987,30.0
988,1.0
989,64.0
990,-46.0
991,43.0
992,-50.0
993,43.0
994,-59.0
995,68.0
996,-9.0
997,48.0
998,-94.0
999,162.0
1000,-102.0
1001,102.0
1002,-101.0
1003,103.0
1004,18.0
1005,120.0
1006,-93.0
1007,106.0
1008,24.0
1009,102.0
1010,-62.0
1011,148.0
1012,41.0
1013,108.0
1014,-112.0
1015,221.0
1016,-157.0
1017,335.0
1018,-348.0
1019,526.0
1020,-377.0
1021,801.0
1022,-662.0
1023,-54.0
1024,40.0
1025,-49.0
1026,30.0
1027,-12.0
1028,29.0
1029,-30.0
1030,25.0
1031,-18.0
1032,34.0
1033,-12.0
1034,37.0
1035,-13.0
1036,9.0
1037,-26.0
1038,35.0
1039,-8.0
1040,37.0
1041,-12.0
1042,90.0
1043,-29.0
1044,65.0
1045,-54.0
1046,157.0
1047,-125.0
1048,92.0
1049,-96.0
1050,183.0
1051,-110.0
1052,110.0
1053,-132.0
1054,86.0
1055,-100.0
1056,84.0
1057,-89.0
1058,92.0
1059,-80.0
1060,109.0
1061,-109.0
1062,97.0
1063,-44.0
1064,37.0
1065,-4.0
1066,-4.0
1067,-2.0
1068,19.0
1069,3.0
1070,0.0
1071,0.0
1072,-2.0
1073,-3.0
1074,-7.0
1075,-3.0
1076,-8.0
1077,5.0
1078,0.0
1079,1.0
1080,-12.0
1081,1.0
1082,-8.0
1083,-8.0
1084,1.0
1085,9.0
1086,-8.0
1087,9.0
1088,-12.0
1089,4.0
1090,0.0
1091,0.0
1092,-10.0
1093,-3.0
1094,-11.0
1095,0.0
1096,0.0
1097,0.0
1098,-7.0
1099,3.0
1100,0.0
1101,9.0
1102,0.0
1103,9.0
1104,0.0
1105,-54.0
1106,99.0
1107,-54.0
1108,96.0
1109,-39.0
1110,59.0
1111,-40.0
1112,21.0
1113,30.0
1114,43.0
1115,-102.0
1116,64.0
1117,85.0
1118,-32.0
1119,12.0
1120,59.0
1121,32.0
1122,8.0
1123,30.0
1124,54.0
1125,-128.0
1126,100.0
1127,-120.0
1128,108.0
1129,-155.0
1130,137.0
1131,-62.0
1132,4.0
1133,157.0
1134,52.0
1135,80.0
1136,-119.0
1137,99.0
1138,-4.0
1139,88.0
1140,-3.0
1141,60.0
1142,0.0
1143,92.0
1144,-12.0
1145,86.0
1146,0.0
1147,0.0
1148,-163.0
1149,86.0
1150,0.0
1151,144.0
1152,-37.0
1153,34.0
1154,-26.0
1155,65.0
1156,-100.0
1157,106.0
1158,-41.0
1159,64.0
1160,-35.0
1161,69.0
1162,-45.0
1163,-7.0
1164,-19.0
1165,62.0
1166,5.0
1167,55.0
1168,-54.0
1169,29.0
1170,108.0
1171,-123.0
1172,-158.0
1173,62.0
1174,-59.0
1175,42.0
1176,72.0
1177,59.0
1178,-36.0
1179,68.0
1180,-47.0
1181,60.0
1182,42.0
1183,21.0
1184,-12.0
1185,24.0
1186,-52.0
1187,24.0
1188,-15.0
1189,21.0
1190,-10.0
1191,37.0
1192,4.0
1193,-12.0
1194,15.0
1195,25.0
1196,47.0
1197,7.0
1198,4.0
1199,26.0
1200,21.0
1201,6.0
1202,9.0
1203,-6.0
1204,-35.0
1205,131.0
1206,-29.0
1207,20.0
1208,-32.0
1209,56.0
1210,-40.0
1211,30.0
1212,-25.0
1213,34.0
1214,-34.0
1215,70.0
1216,-27.0
1217,66.0
1218,-42.0
1219,79.0
1220,-21.0
1221,57.0
1222,7.0
1223,79.0
1224,-43.0
1225,83.0
1226,-52.0
1227,21.0
1228,-25.0
1229,190.0
1230,-112.0
1231,188.0
1232,-82.0
1233,208.0
1234,-58.0
1235,54.0
1236,-12.0
1237,55.0
1238,-59.0
1239,49.0
1240,-39.0
1241,22.0
1242,-72.0
1243,78.0
1244,-81.0
1245,43.0
1246,-102.0
1247,110.0
1248,-201.0
1249,263.0
1250,-193.0
1251,453.0
1252,-223.0
1253,280.0
1254,-366.0
1255,416.0
1256,-278.0
1257,309.0
1258,-290.0
1259,356.0
1260,-350.0
1261,375.0
1262,-350.0
1263,323.0
1264,-338.0
1265,216.0
1266,-100.0
1267,225.0
1268,-115.0
1269,164.0
1270,-158.0
1271,180.0
1272,-179.0
1273,340.0
1274,-256.0
1275,219.0
1276,-182.0
1277,248.0
1278,-175.0
1279,209.0
1280,-177.0
1281,271.0
1282,-203.0
1283,251.0
1284,-286.0
1285,231.0
1286,-146.0
1287,185.0
1288,-261.0
1289,222.0
1290,-292.0
1291,216.0
1292,-186.0
1293,218.0
1294,-129.0
1295,128.0
1296,-104.0
1297,237.0
1298,-45.0
1299,82.0
1300,-60.0
1301,112.0
1302,-14.0
1303,28.0
1304,-50.0
1305,19.0
1306,-20.0
1307,55.0
1308,-87.0
1309,83.0
1310,-90.0
1311,85.0
1312,-65.0
1313,-20.0
1314,-26.0
1315,85.0
1316,-18.0
1317,26.0
1318,-22.0
1319,33.0
1320,0.0
1321,13.0
1322,-12.0
1323,12.0
1324,-12.0
1325,3.0
1326,-12.0
1327,3.0
1328,0.0
1329,0.0
1330,-37.0
1331,34.0
1332,-32.0
1333,53.0
1334,-28.0
1335,36.0
1336,-12.0
1337,31.0
1338,-13.0
1339,47.0
1340,-12.0
1341,34.0
1342,-27.0
1343,36.0
1344,-19.0
1345,20.0
1346,20.0
1347,-9.0
1348,6.0
1349,-21.0
1350,0.0
1351,12.0
1352,-62.0
1353,86.0
1354,-9.0
1355,9.0
1356,-1.0
1357,29.0
1358,-13.0
1359,-9.0
1360,23.0
1361,-27.0
1362,10.0
1363,-14.0
1364,-40.0
1365,101.0
1366,-10.0
1367,93.0
1368,-106.0
1369,48.0
1370,-13.0
1371,54.0
1372,-99.0
1373,49.0
1374,-66.0
1375,174.0
1376,10.0
1377,-12.0
1378,-11.0
1379,-40.0
1380,33.0
1381,-40.0
1382,75.0
1383,-82.0
1384,-7.0
1385,-20.0
1386,130.0
1387,-54.0
1388,115.0
1389,88.0
1390,82.0
1391,-179.0
1392,72.0
1393,-34.0
1394,-17.0
1395,-11.0
1396,119.0
1397,-76.0
1398,218.0
1399,-69.0
1400,155.0
1401,-66.0
1402,100.0
1403,-79.0
1404,141.0
1405,-13.0
1406,12.0
1407,-12.0
1408,12.0
1409,-9.0
1410,5.0
1411,0.0
1412,12.0
1413,-12.0
1414,10.0
1415,0.0
1416,-12.0
1417,-12.0
1418,-12.0
1419,11.0
1420,0.0
1421,-54.0
1422,34.0
1423,-51.0
1424,64.0
1425,-42.0
1426,113.0
1427,-40.0
1428,19.0
1429,-8.0
1430,39.0
1431,-18.0
1432,2.0
1433,-3.0
1434,37.0
1435,-36.0
1436,17.0
1437,14.0
1438,3.0
1439,9.0
1440,7.0
1441,-6.0
1442,12.0
1443,13.0
1444,55.0
1445,-11.0
1446,120.0
1447,-33.0
1448,56.0
1449,-9.0
1450,68.0
1451,-37.0
1452,99.0
1453,-93.0
1454,161.0
1455,-55.0
1456,74.0
1457,-72.0
1458,83.0
1459,-64.0
1460,133.0
1461,-89.0
1462,58.0
1463,13.0
1464,47.0
1465,-144.0
1466,235.0
1467,-169.0
1468,243.0
1469,-270.0
1470,199.0
1471,-245.0
1472,195.0
1473,-229.0
1474,200.0
1475,-200.0
1476,272.0
1477,-216.0
1478,201.0
1479,-216.0
1480,219.0
1481,-162.0
1482,329.0
1483,-296.0
1484,191.0
1485,-178.0
1486,198.0
1487,-229.0
1488,301.0
1489,-172.0
1490,220.0
1491,-146.0
1492,114.0
1493,-15.0
1494,236.0
1495,-170.0
1496,161.0
1497,-175.0
1498,175.0
1499,-137.0
1500,187.0
1501,-193.0
1502,226.0
1503,-174.0
1504,176.0
1505,-191.0
1506,171.0
1507,-186.0
1508,199.0
1509,-180.0
1510,160.0
1511,-162.0
1512,196.0
1513,-221.0
1514,183.0
1515,-175.0
1516,171.0
1517,-245.0
1518,198.0
1519,-163.0
1520,217.0
1521,-187.0
1522,194.0
1523,-206.0
1524,209.0
1525,-186.0
1526,223.0
1527,-221.0
1528,223.0
1529,-249.0
1530,156.0
1531,-175.0
1532,227.0
1533,-212.0
1534,759.0
1535,-88.0
1536,94.0
1537,-91.0
1538,124.0
1539,-93.0
1540,83.0
1541,-103.0
1542,102.0
1543,-98.0
1544,84.0
1545,-87.0
1546,67.0
1547,-96.0
1548,85.0
1549,-82.0
1550,90.0
1551,-87.0
1552,97.0
1553,-101.0
1554,85.0
1555,-103.0
1556,97.0
1557,-69.0
1558,60.0
1559,-51.0
1560,131.0
1561,-100.0
1562,119.0
1563,-104.0
1564,279.0
1565,-71.0
1566,308.0
1567,-77.0
1568,124.0
1569,-91.0
1570,56.0
1571,-74.0
1572,69.0
1573,-58.0
1574,80.0
1575,-62.0
1576,48.0
1577,-20.0
1578,84.0
1579,-50.0
1580,275.0
1581,-213.0
1582,229.0
1583,-174.0
1584,221.0
1585,-48.0
1586,30.0
1587,-51.0
1588,94.0
1589,-40.0
1590,103.0
1591,-115.0
1592,65.0
1593,-56.0
1594,70.0
1595,2.0
1596,34.0
1597,4.0
1598,-31.0
1599,-3.0
1600,12.0
1601,52.0
1602,46.0
1603,12.0
1604,-4.0
1605,56.0
1606,-19.0
1607,78.0
1608,20.0
1609,80.0
1610,51.0
1611,-25.0
1612,73.0
1613,-35.0
1614,55.0
1615,-22.0
1616,44.0
1617,8.0
1618,21.0
1619,-17.0
1620,51.0
1621,-59.0
1622,33.0
1623,-1.0
1624,19.0
1625,11.0
1626,19.0
1627,-30.0
1628,90.0
1629,103.0
1630,-55.0
1631,22.0
1632,173.0
1633,7.0
1634,152.0
1635,-162.0
1636,239.0
1637,-123.0
1638,487.0
1639,-458.0
1640,465.0
1641,-463.0
1642,467.0
1643,-481.0
1644,559.0
1645,-434.0
1646,549.0
1647,-707.0
1648,606.0
1649,-640.0
1650,760.0
1651,-598.0
1652,498.0
1653,-379.0
1654,399.0
1655,-467.0
1656,535.0
1657,-437.0
1658,323.0
1659,-462.0
1660,442.0
1661,-462.0
1662,466.0
1663,-42.0
1664,61.0
1665,-17.0
1666,31.0
1667,-27.0
1668,13.0
1669,-36.0
1670,48.0
1671,-27.0
1672,35.0
1673,-23.0
1674,39.0
1675,-11.0
1676,36.0
1677,-8.0
1678,84.0
1679,-49.0
1680,54.0
1681,-58.0
1682,81.0
1683,-25.0
1684,37.0
1685,-47.0
1686,46.0
1687,-37.0
1688,73.0
1689,-47.0
1690,54.0
1691,-42.0
1692,52.0
1693,-14.0
1694,54.0
1695,-35.0
1696,19.0
1697,0.0
1698,1.0
1699,-41.0
1700,90.0
1701,-9.0
1702,37.0
1703,-10.0
1704,24.0
1705,-25.0
1706,-34.0
1707,112.0
1708,48.0
1709,-39.0
1710,52.0
1711,-50.0
1712,20.0
1713,-47.0
1714,33.0
1715,-18.0
1716,14.0
1717,-17.0
1718,5.0
1719,-41.0
1720,55.0
1721,-10.0
1722,142.0
1723,-46.0
1724,36.0
1725,-3.0
1726,10.0
1727,11.0
1728,5.0
1729,-33.0
1730,44.0
1731,-3.0
1732,-19.0
1733,-7.0
1734,5.0
1735,11.0
1736,16.0
1737,-16.0
1738,16.0
1739,0.0
1740,3.0
1741,-25.0
1742,26.0
1743,-20.0
1744,25.0
1745,-51.0
1746,66.0
1747,-18.0
1748,26.0
1749,-34.0
1750,43.0
1751,152.0
1752,-219.0
1753,148.0
1754,-155.0
1755,296.0
1756,-149.0
1757,229.0
1758,-208.0
1759,371.0
1760,-275.0
1761,318.0
1762,-341.0
1763,333.0
1764,-250.0
1765,364.0
1766,-259.0
1767,244.0
1768,-225.0
1769,248.0
1770,-230.0
1771,268.0
1772,-241.0
1773,250.0
1774,-187.0
1775,293.0
1776,-244.0
1777,245.0
1778,-212.0
1779,296.0
1780,-281.0
1781,-51.0
1782,40.0
1783,-49.0
1784,30.0
1785,-27.0
1786,5.0
1787,-26.0
1788,34.0
1789,-55.0
1790,5.0
1791,-19.0
1792,21.0
1793,3.0
1794,56.0
1795,-20.0
1796,21.0
1797,-5.0
1798,17.0
1799,-15.0
1800,30.0
1801,-37.0
1802,49.0
1803,-13.0
1804,52.0
1805,-46.0
1806,21.0
1807,-38.0
1808,37.0
1809,-13.0
1810,16.0
1811,0.0
1812,39.0
1813,-48.0
1814,53.0
1815,-23.0
1816,54.0
1817,-79.0
1818,20.0
1819,-5.0
1820,43.0
1821,-27.0
1822,106.0
1823,-102.0
1824,150.0
1825,-96.0
1826,154.0
1827,-145.0
1828,105.0
1829,-191.0
1830,184.0
1831,-103.0
1832,155.0
1833,-29.0
1834,74.0
1835,-52.0
1836,79.0
1837,-33.0
1838,12.0
1839,-26.0
1840,169.0
1841,-135.0
1842,41.0
1843,-6.0
1844,-11.0
1845,10.0
1846,61.0
1847,1.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,-49.0
1862,25.0
1863,-32.0
1864,53.0
1865,-37.0
1866,40.0
1867,-29.0
1868,36.0
1869,0.0
1870,55.0
1871,-56.0
1872,62.0
1873,-45.0
1874,61.0
1875,-17.0
1876,34.0
1877,-24.0
1878,21.0
1879,-37.0
1880,37.0
1881,-20.0
1882,0.0
1883,-13.0
1884,0.0
1885,-50.0
1886,9.0
1887,-8.0
1888,3.0
1889,-43.0
1890,38.0
1891,19.0
1892,168.0
1893,-29.0
1894,40.0
1895,12.0
1896,7.0
1897,-32.0
1898,70.0
1899,-28.0
1900,49.0
1901,-19.0
1902,33.0
1903,13.0
1904,42.0
1905,40.0
1906,56.0
1907,453.0
1908,-459.0
1909,-37.0
1910,34.0
1911,-32.0
1912,78.0
1913,-51.0
1914,47.0
1915,-61.0
1916,38.0
1917,-47.0
1918,75.0
1919,-73.0
1920,49.0
1921,-42.0
1922,38.0
1923,-49.0
1924,88.0
1925,-83.0
1926,87.0
1927,-39.0
1928,192.0
1929,-93.0
1930,80.0
1931,-43.0
1932,92.0
1933,-26.0
1934,34.0
1935,-48.0
1936,-12.0
1937,-2.0
1938,-72.0
1939,10.0
1940,-47.0
1941,274.0
1942,-279.0
1943,156.0
1944,-29.0
1945,151.0
1946,-139.0
1947,59.0
1948,-41.0
1949,104.0
1950,-92.0
1951,162.0
1952,-5.0
1953,142.0
1954,-119.0
1955,156.0
1956,-62.0
1957,94.0
1958,-137.0
1959,175.0
1960,-90.0
1961,132.0
1962,-28.0
1963,101.0
1964,-91.0
1965,98.0
1966,-34.0
1967,115.0
1968,-103.0
1969,107.0
1970,-97.0
1971,98.0
1972,-88.0
1973,118.0
1974,-98.0
1975,104.0
1976,-85.0
1977,126.0
1978,-88.0
1979,94.0
1980,-58.0
1981,87.0
1982,-112.0
1983,72.0
1984,-87.0
1985,131.0
1986,-94.0
1987,66.0
1988,-46.0
1989,73.0
1990,-47.0
1991,59.0
1992,-68.0
1993,97.0
1994,-70.0
1995,74.0
1996,-90.0
1997,114.0
1998,-133.0
1999,119.0
2000,-60.0
2001,115.0
2002,-122.0
2003,63.0
2004,-110.0
